,z,t,theta_train,psi_train
558,36.0,0.242,0.4075,-1.466
559,36.0,0.246,0.4075,-1.485
560,36.0,0.249,0.4074,-1.499
561,36.0,0.253,0.4073,-1.518
562,36.0,0.257,0.4073,-1.538
563,36.0,0.261,0.4072,-1.557
564,36.0,0.265,0.4071,-1.577
565,36.0,0.269,0.4071,-1.596
566,36.0,0.273,0.407,-1.616
567,36.0,0.277,0.4069,-1.636
568,36.0,0.282,0.4068,-1.66
569,36.0,0.286,0.4068,-1.679
570,36.0,0.29,0.4067,-1.698
571,36.0,0.295,0.4066,-1.722
572,36.0,0.299,0.4066,-1.74
573,36.0,0.304,0.4065,-1.763
574,36.0,0.309,0.4064,-1.785
575,36.0,0.313,0.4064,-1.803
576,36.0,0.318,0.4063,-1.824
577,36.0,0.323,0.4062,-1.845
578,36.0,0.328,0.4061,-1.866
579,36.0,0.333,0.406,-1.887
580,36.0,0.338,0.4059,-1.909
581,36.0,0.343,0.4058,-1.93
582,36.0,0.349,0.4057,-1.957
583,36.0,0.354,0.4056,-1.979
584,36.0,0.359,0.4055,-2.001
585,36.0,0.365,0.4054,-2.027
586,36.0,0.371,0.4053,-2.054
587,36.0,0.376,0.4052,-2.076
588,36.0,0.382,0.4051,-2.102
589,36.0,0.388,0.405,-2.128
590,36.0,0.394,0.4049,-2.153
591,36.0,0.4,0.4048,-2.178
592,36.0,0.406,0.4047,-2.203
593,36.0,0.412,0.4046,-2.227
594,36.0,0.419,0.4045,-2.255
595,36.0,0.425,0.4044,-2.278
596,36.0,0.432,0.4043,-2.304
597,36.0,0.438,0.4042,-2.326
598,36.0,0.445,0.404,-2.352
599,36.0,0.452,0.4039,-2.379
600,36.0,0.459,0.4038,-2.405
601,36.0,0.466,0.4036,-2.432
602,36.0,0.473,0.4035,-2.459
603,36.0,0.48,0.4033,-2.486
604,36.0,0.488,0.4032,-2.518
605,36.0,0.495,0.4031,-2.545
606,36.0,0.503,0.4029,-2.576
607,36.0,0.51,0.4028,-2.603
608,36.0,0.518,0.4026,-2.634
609,36.0,0.526,0.4025,-2.664
610,36.0,0.534,0.4023,-2.695
611,36.0,0.542,0.4021,-2.724
612,36.0,0.551,0.402,-2.757
613,36.0,0.559,0.4018,-2.786
614,36.0,0.568,0.4017,-2.818
615,36.0,0.576,0.4015,-2.845
616,36.0,0.585,0.4014,-2.875
617,36.0,0.594,0.4012,-2.904
618,36.0,0.603,0.4011,-2.932
619,36.0,0.613,0.4009,-2.964
620,36.0,0.622,0.4007,-2.993
621,36.0,0.632,0.4005,-3.026
622,36.0,0.641,0.4003,-3.056
623,36.0,0.651,0.4001,-3.089
624,36.0,0.661,0.3999,-3.122
625,36.0,0.671,0.3997,-3.156
626,36.0,0.682,0.3995,-3.193
627,36.0,0.692,0.3993,-3.226
628,36.0,0.703,0.3991,-3.263
629,36.0,0.713,0.3989,-3.297
630,36.0,0.724,0.3987,-3.333
631,36.0,0.736,0.3984,-3.372
632,36.0,0.747,0.3982,-3.408
